ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player_Favorite;Player_Not_Favorite;Favorite_Wins;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Sampras P.;Medvedev A.;1;Sampras P.;Medvedev A.;2,0;32,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Meligeni F.;Safin M.;0;Safin M.;Meligeni F.;31,0;29,0;6,0;2,0;3,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Kafelnikov Y.;Spadea V.;1;Kafelnikov Y.;Spadea V.;3,0;27,0;6,0;1,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Henman T.;Alami K.;1;Henman T.;Alami K.;9,0;25,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Ferrero J.C.;Chang M.;0;Chang M.;Ferrero J.C.;40,0;24,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Mantilla F.;Dosedel S.;0;Dosedel S.;Mantilla F.;51,0;23,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Costa A.;Koubek S.;1;Costa A.;Koubek S.;13,0;20,0;3,0;6,0;7,0;5,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;El Aynaoui Y.;Hrbaty D.;0;Hrbaty D.;El Aynaoui Y.;21,0;16,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Pioline C.;Escude N.;0;Escude N.;Pioline C.;30,0;11,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Kiefer N.;Santoro F.;0;Santoro F.;Kiefer N.;33,0;4,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Agassi A.;Arazi H.;0;Arazi H.;Agassi A.;34,0;1,0;6,0;3,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Zabaleta M.;Vicente F.;1;Zabaleta M.;Vicente F.;28,0;39,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Mirnyi M.;Dent T.;1;Mirnyi M.;Dent T.;68,0;229,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Ivanisevic G.;Goldstein P.;1;Ivanisevic G.;Goldstein P.;70,0;83,0;6,0;4,0;2,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Kuerten G.;Haas T.;0;Haas T.;Kuerten G.;22,0;6,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;The Final;5,0;Enqvist T.;Corretja A.;0;Corretja A.;Enqvist T.;26,0;10,0;6,0;4,0;6,0;4,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;Semifinals;3,0;Enqvist T.;Philippoussis M.;1;Enqvist T.;Philippoussis M.;10,0;35,0;6,0;3,0;6,0;7,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
