ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,4th Round,3,Agassi A.,Rafter P.,1,16,6,4,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,4th Round,3,Sampras P.,Rusedski G.,2,18,6,3,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,4th Round,3,Ferreira W.,Hrbaty D.,44,22,2,6,6,4,6,4,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,4th Round,3,Gambill J.M.,Philippoussis M.,86,24,6,2,6,7,6,3,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,4th Round,3,Kuerten G.,Pozzi G.,6,83,6,4,7,6,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,Quarterfinals,3,Sampras P.,Lapentti N.,2,9,6,4,7,6,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,Quarterfinals,3,Agassi A.,Henman T.,1,10,7,5,1,6,7,6,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,Quarterfinals,3,Kuerten G.,Ferreira W.,6,44,6,3,6,1,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Gambill J.M.,14,86,6,4,7,6,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,Semifinals,3,Kuerten G.,Agassi A.,6,1,6,1,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,Semifinals,3,Sampras P.,Hewitt L.,2,14,6,3,3,6,6,1,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,The Final,5,Sampras P.,Kuerten G.,2,6,6,1,6,7,7,6,7,6,,,3,1,Completed
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
