ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
19,Miami,NASDAQ-100 Open,27/03/04,Masters,Outdoor,Hard,2nd Round,3,Novak J.,Koubek S.,15,89,6,4,6,0,,,,,,,2,0,Completed,1.36,3,1.42,2.85,,,1.3,2.7,1.476,2.85
19,Miami,NASDAQ-100 Open,27/03/04,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Lapentti N.,13,58,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.36,3.15,,,1.3,2.7,1.37,3.3
19,Miami,NASDAQ-100 Open,27/03/04,Masters,Outdoor,Hard,2nd Round,3,Moya C.,Sanchez D.,6,57,4,6,6,4,6,4,,,,,2,1,Completed,1.16,4.5,1.22,4.3,,,1.2,3.3,1.222,4.85
19,Miami,NASDAQ-100 Open,27/03/04,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Beck K.,3,76,6,2,6,4,,,,,,,2,0,Completed,1.1,6.5,1.11,6.65,,,1.1,4.5,1.143,6.5
19,Miami,NASDAQ-100 Open,27/03/04,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Davydenko N.,1,54,6,2,3,6,7,5,,,,,2,1,Completed,1.06,8,1.1,7,,,1.05,5,1.087,9.75
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,2nd Round,3,Malisse X.,Costa A.,63,23,6,4,6,2,,,,,,,2,0,Completed,1.72,2,1.83,2,1.85,1.9,1.75,1.75,1.943,1.909
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,2nd Round,3,Canas G.,Schalken S.,97,14,6,1,3,0,,,,,,,1,0,Retired,1.83,1.83,1.9,1.9,1.7,2.1,1.75,1.75,1.787,2.11
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,2nd Round,3,Agassi A.,Zabaleta M.,5,43,6,0,7,6,,,,,,,2,0,Completed,1.11,6,1.11,6.65,1.1,6.25,1.1,4.5,1.121,7.35
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,2nd Round,3,Mirnyi M.,Squillari F.,30,125,6,4,7,6,,,,,,,2,0,Completed,1.44,2.62,1.55,2.45,,,1.35,2.5,1.543,2.66
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,2nd Round,3,Hernych J.,Philippoussis M.,160,12,6,4,6,2,,,,,,,2,0,Completed,2.37,1.53,2.3,1.62,2.05,1.65,2.3,1.4,2.29,1.685
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,2nd Round,3,Monaco J.,Kuerten G.,156,19,6,1,3,6,7,5,,,,,2,1,Completed,2.5,1.5,2.75,1.45,,,2.5,1.35,2.75,1.5
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,3rd Round,3,Coria G.,Chela J.I.,4,27,6,2,3,6,6,3,,,,,2,1,Completed,1.36,3,1.42,2.85,1.3,3.35,1.3,2.7,1.339,3.55
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,3rd Round,3,Benneteau J.,Ljubicic I.,121,40,7,6,6,1,,,,,,,2,0,Completed,2.75,1.4,2.85,1.42,2.4,1.53,2.3,1.4,2.67,1.541
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,3rd Round,3,Pavel A.,Hewitt L.,50,18,6,4,7,5,,,,,,,2,0,Completed,4.5,1.16,5.25,1.16,4.25,1.2,3.8,1.15,5.05,1.206
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,3rd Round,3,Grosjean S.,Ascione T.,13,106,6,3,4,6,7,6,,,,,2,1,Completed,1.28,3.5,1.33,3.3,1.25,3.75,1.3,2.7,1.308,3.75
19,Miami,NASDAQ-100 Open,28/03/04,Masters,Outdoor,Hard,3rd Round,3,Kiefer N.,Ginepri R.,44,35,7,6,3,6,6,4,,,,,2,1,Completed,1.9,1.8,1.95,1.85,2,1.75,1.85,1.65,2,1.862
19,Miami,NASDAQ-100 Open,29/03/04,Masters,Outdoor,Hard,3rd Round,3,Gonzalez F.,Novak J.,22,15,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,2,1.83,2.1,1.7,1.85,1.65,2.09,1.8
19,Miami,NASDAQ-100 Open,29/03/04,Masters,Outdoor,Hard,3rd Round,3,Martin T.,Melzer J.,62,64,7,6,6,3,,,,,,,2,0,Completed,2,1.72,2,1.8,2.1,1.65,1.9,1.6,2.27,1.694
19,Miami,NASDAQ-100 Open,29/03/04,Masters,Outdoor,Hard,3rd Round,3,Nadal R.,Federer R.,34,1,6,3,6,3,,,,,,,2,0,Completed,5,1.14,5.15,1.17,6.25,1.1,3.8,1.15,5.25,1.182
19,Miami,NASDAQ-100 Open,29/03/04,Masters,Outdoor,Hard,3rd Round,3,Calleri A.,Reid T.,21,128,6,4,7,6,,,,,,,2,0,Completed,1.5,2.5,1.5,2.6,1.45,2.65,1.4,2.3,1.488,2.8
19,Miami,NASDAQ-100 Open,29/03/04,Masters,Outdoor,Hard,3rd Round,3,Robredo T.,Hernych J.,20,160,3,6,6,3,7,6,,,,,2,1,Completed,1.66,2.1,1.67,2.2,1.55,2.35,1.5,2.1,1.621,2.43
19,Miami,NASDAQ-100 Open,29/03/04,Masters,Outdoor,Hard,3rd Round,3,Spadea V.,Stepanek R.,36,52,6,3,2,6,7,6,,,,,2,1,Completed,1.4,2.75,1.48,2.65,1.45,2.65,1.35,2.5,1.488,2.8
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,3rd Round,3,Agassi A.,Mirnyi M.,5,30,6,2,6,2,,,,,,,2,0,Completed,1.16,4.5,1.18,4.85,1.17,4.67,1.15,3.8,1.19,5.25
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Bjorkman J.,3,28,6,4,3,6,6,3,,,,,2,1,Completed,1.22,4,1.2,4.55,1.17,4.67,1.15,3.8,1.233,4.6
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,3rd Round,3,Moya C.,Hrbaty D.,6,29,7,5,1,6,6,3,,,,,2,1,Completed,1.53,2.37,1.5,2.6,1.53,2.4,1.4,2.3,1.543,2.66
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,3rd Round,3,Srichaphan P.,Monaco J.,10,156,1,6,6,4,6,4,,,,,2,1,Completed,1.61,2.2,1.6,2.35,1.65,2.15,1.45,2.2,1.704,2.25
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,3rd Round,3,Canas G.,Malisse X.,97,63,6,4,2,6,6,3,,,,,2,1,Completed,1.66,2.1,1.7,2.15,1.65,2.1,1.6,1.9,1.69,2.28
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,4th Round,3,Coria G.,Benneteau J.,4,121,7,6,2,6,7,5,,,,,2,1,Completed,1.2,4.33,1.2,4.75,1.22,3.98,1.2,3.6,1.204,5.05
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,4th Round,3,Kiefer N.,Grosjean S.,44,13,6,4,6,2,,,,,,,2,0,Completed,2.25,1.57,2.5,1.55,2.25,1.6,3.2,1.25,2.68,1.538
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,4th Round,3,Pavel A.,Martin T.,50,62,7,6,7,6,,,,,,,2,0,Completed,1.57,2.25,1.73,2.15,1.65,2.15,1.65,1.95,1.73,2.21
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,4th Round,3,Calleri A.,Agassi A.,21,5,6,2,7,6,,,,,,,2,0,Completed,5,1.14,5.15,1.18,5.85,1.1,4.8,1.1,6.1,1.152
19,Miami,NASDAQ-100 Open,30/03/04,Masters,Outdoor,Hard,4th Round,3,Gonzalez F.,Nadal R.,22,34,7,6,4,6,6,2,,,,,2,1,Completed,1.9,1.8,1.92,1.92,1.85,1.9,1.75,1.85,1.971,1.885
