ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Agassi A.,Kiefer N.,9,51,6,3,6,2,,,,,,,2,0,Completed,,,1.13,5.25,1.15,4.5,1.1,4.5,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Blake J.,El Aynaoui Y.,40,18,4,6,6,0,6,3,,,,,2,1,Completed,,,3.4,1.28,3.45,1.25,3,1.25,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Calleri A.,Koubek S.,57,54,6,2,7,6,,,,,,,2,0,Completed,,,1.53,2.35,1.5,2.35,1.4,2.3,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Davydenko N.,26,82,6,1,2,6,6,1,,,,,2,1,Completed,,,1.24,3.7,1.33,2.85,1.25,3,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Clement A.,Johansson T.,48,8,6,4,6,4,,,,,,,2,0,Completed,,,2.35,1.53,2.35,1.5,2.1,1.5,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Costa A.,Lapentti N.,21,20,3,6,6,4,6,4,,,,,2,1,Completed,,,1.7,2.05,1.65,2.05,1.6,1.9,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Enqvist T.,Norman M.,24,148,2,6,1,2,,,,,,,0,1,Retired,,,1.9,1.82,1.75,1.92,1.8,1.7,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Ferreira W.,Gaudio G.,44,30,6,3,6,3,,,,,,,2,0,Completed,,,4.4,1.18,3.45,1.25,3,1.25,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Schuettler R.,3,28,6,2,4,3,,,,,,,1,0,Retired,,,1.17,4.5,1.2,3.85,1.15,3.8,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Galimberti G.,Corretja A.,170,19,6,2,2,6,6,3,,,,,2,1,Completed,,,5.75,1.1,5.5,1.1,4.5,1.1,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Galvani S.,Rusedski G.,117,33,4,6,7,6,6,2,,,,,2,1,Completed,,,1.85,1.85,1.8,1.85,1.6,1.9,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Gaudenzi A.,Federer R.,58,11,6,4,6,4,,,,,,,2,0,Completed,,,3.1,1.33,2.85,1.35,2.5,1.35,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Gonzalez F.,Henman T.,55,5,3,6,7,6,6,0,,,,,2,1,Completed,,,,,,,,,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Arazi H.,10,38,6,4,6,0,,,,,,,2,0,Completed,,,1.35,2.95,1.35,2.85,1.3,2.7,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Haas T.,Mirnyi M.,7,35,6,2,6,2,,,,,,,2,0,Completed,,,1.35,3,1.4,2.55,1.35,2.5,,
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Hewitt L.,Bjorkman J.,1,59,6,2,6,3,,,,,,,2,0,Completed,,,1.14,5,1.1,5.5,1.1,4.5
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Hipfl M.,Canas G.,83,16,6,4,6,4,,,,,,,2,0,Completed,,,2.75,1.4,,,3,1.25
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Kafelnikov Y.,Squillari F.,4,60,6,1,2,0,,,,,,,1,0,Retired,,,1.9,1.85,1.75,1.9,1.75,1.75
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Kratochvil M.,Clavet F.,49,79,4,6,7,5,6,3,,,,,2,1,Completed,,,2,1.75,1.9,1.75,1.7,1.8
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Kuerten G.,Sanguinetti D.,2,50,7,5,6,3,,,,,,,2,0,Completed,,,1.22,4,1.2,3.85,1.2,3.3
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Ljubicic I.,Luzzi F.,36,138,6,4,6,7,6,2,,,,,2,1,Completed,,,1.38,2.85,1.35,2.85,1.3,2.7
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Malisse X.,Acasuso J.,37,104,6,1,6,4,,,,,,,2,0,Completed,,,2.15,1.65,2.05,1.65,2,1.55
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Mantilla F.,Sampras P.,45,12,6,4,6,7,6,3,,,,,2,1,Completed,,,1.7,2.05,1.85,1.82,1.75,1.75
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Montanes A.,Blanco G.,61,93,6,2,6,4,,,,,,,2,0,Completed,,,1.9,1.82,1.9,1.75,1.8,1.7
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Moya C.,Ulihrach B.,25,42,6,3,3,6,6,1,,,,,2,1,Completed,,,1.33,3.1,1.3,3.1,1.25,3
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Nalbandian D.,Portas A.,32,31,6,3,5,7,6,3,,,,,2,1,Completed,,,1.3,3.25,1.3,3.1,1.25,3
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Novak J.,Schalken S.,15,34,6,4,6,4,,,,,,,2,0,Completed,,,1.42,2.7,1.4,2.65,1.45,2.2
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Pavel A.,Santoro F.,29,22,6,1,7,6,,,,,,,2,0,Completed,,,1.6,2.25,1.5,2.35,1.55,2
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Philippoussis M.,Spadea V.,144,91,6,2,6,2,,,,,,,2,0,Completed,,,1.6,2.2,1.5,2.3,1.45,2.2
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Robredo T.,Volandri F.,39,181,7,5,6,4,,,,,,,2,0,Completed,,,1.33,3.1,1.2,3.75,1.25,3
28,Rome,Rome TMS,06/05/02,Masters,Outdoor,Clay,1st Round,3,Roddick A.,Calatrava A.,14,113,6,2,6,3,,,,,,,2,0,Completed,,,1.13,5.25,1.15,4.5,1.15,3.8
