ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
27,Rome,Internazionali BNL d'Italia,06/05/08,Masters,Outdoor,Clay,1st Round,3,Simon G.,Tsonga J.W.,34,17,940,1440,6,2,4,6,7,6,,,,,2,1,Completed,1.61,2.2,1.7,2.1,1.667,2.1,1.8,2.15,1.75,2.03
27,Rome,Internazionali BNL d'Italia,06/05/08,Masters,Outdoor,Clay,2nd Round,3,Roddick A.,Fish M.,6,38,2260,835,6,1,6,4,,,,,,,2,0,Completed,1.28,3.5,1.35,3.1,1.364,3,1.328,3.75,1.35,3.1
27,Rome,Internazionali BNL d'Italia,06/05/08,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Canas G.,1,30,6775,1015,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.15,5.2,1.125,5.5,1.183,5.97,1.2,4.3
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Almagro N.,Nalbandian D.,21,7,1270,2085,6,4,7,5,,,,,,,2,0,Completed,1.9,1.8,1.91,1.83,1.833,1.833,2.16,1.794,2,1.77
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Djokovic N.,Darcis S.,3,49,4935,713,6,4,6,0,,,,,,,2,0,Completed,1.07,7.5,1.1,6.75,1.1,6.5,1.118,8.65,1.07,8
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Horna L.,Acasuso J.,111,41,411,791,6,3,7,6,,,,,,,2,0,Completed,2.62,1.44,2.45,1.5,2.625,1.444,2.99,1.457,2.52,1.5
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Stepanek R.,Ferrer D.,27,5,1060,2610,4,6,6,2,6,1,,,,,2,1,Completed,4.33,1.19,3.89,1.23,3.75,1.25,4,1.303,3.8,1.25
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Blake J.,Seppi A.,8,46,1965,743,7,6,3,6,6,1,,,,,2,1,Completed,2,1.72,1.87,1.87,1.833,1.833,1.901,2.01,1.9,1.86
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Davydenko N.,Ancic M.,4,51,3440,675,6,2,6,2,,,,,,,2,0,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.493,2.83,1.38,2.95
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Andreev I.,Monaco J.,26,14,1155,1425,4,6,6,1,6,4,,,,,2,1,Completed,2.1,1.66,1.95,1.8,1.833,1.833,2.09,1.84,1.92,1.85
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Gonzalez F.,Korolev E.,11,98,1440,449,6,3,6,2,,,,,,,2,0,Completed,1.53,2.37,1.58,2.28,1.533,2.375,1.641,2.46,1.55,2.38
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Bolelli S.,Simon G.,55,34,601,940,6,4,6,4,,,,,,,2,0,Completed,1.44,2.62,1.5,2.45,1.533,2.375,2.16,1.794,1.44,2.72
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Verdasco F.,Lapentti N.,28,74,1050,494,6,2,5,7,6,2,,,,,2,1,Completed,1.44,2.62,1.45,2.6,1.533,2.375,1.556,2.7,1.56,2.36
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Nadal R.,23,2,1240,5655,7,5,6,1,,,,,,,2,0,Completed,12,1.02,9.25,1.04,9,1.04,16,1.05,10,1.04
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Robredo T.,Mahut N.,16,44,1415,761,7,5,7,6,,,,,,,2,0,Completed,1.07,7.5,1.05,8.5,1.083,7,1.1,9,1.08,7.5
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Wawrinka S.,Murray A.,24,18,1090,1380,6,2,7,6,,,,,,,2,0,Completed,1.83,1.83,1.91,1.83,1.909,1.8,1.87,2.05,1.92,1.84
27,Rome,Internazionali BNL d'Italia,07/05/08,Masters,Outdoor,Clay,2nd Round,3,Karlovic I.,Starace P.,22,45,1280,760,6,3,6,7,7,6,,,,,2,1,Completed,2.37,1.53,2.15,1.65,2.25,1.571,2.38,1.676,2.28,1.6
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Djokovic N.,Andreev I.,3,26,4935,1155,6,3,3,6,6,3,,,,,2,1,Completed,1.14,5,1.17,4.67,1.167,4.5,1.192,5.71,1.15,5.15
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Stepanek R.,Horna L.,27,111,1060,411,6,4,1,6,6,3,,,,,2,1,Completed,1.39,2.75,1.42,2.75,1.444,2.625,1.493,2.83,1.48,2.57
