ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Russell M.,21,82,1715,624,3,6,6,1,6,4,,,,,2,1,Completed,1.12,5.5,1.2,4.3,1.17,4.5,1.18,5.84,1.2,4,1.22,6,1.16,4.98
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,Devvarman S.,18,111,2025,491,7,6,6,3,,,,,,,2,0,Completed,,,,,,,,,,,,,,
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Verdasco F.,Schwank E.,9,57,3475,840,6,0,5,7,6,2,,,,,2,1,Completed,1.14,5,1.15,5,1.13,5.5,1.21,5.13,1.13,5.5,1.21,5.25,1.17,4.92
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Wawrinka S.,Dancevic F.,24,417,1520,83,6,1,6,4,,,,,,,2,0,Completed,1.25,3.75,1.3,3.3,1.22,4,1.3,3.97,1.25,3.5,1.3,4.1,1.25,3.77
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Berdych T.,Stakhovsky S.,7,48,3780,922,6,2,6,4,,,,,,,2,0,Completed,1.16,4.5,1.18,4.5,1.17,4.5,1.24,4.64,1.2,4,1.24,4.92,1.2,4.31
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Soderling R.,Gulbis E.,5,28,4740,1414,4,6,6,4,6,4,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.51,2.79,1.36,2.88,1.51,3.05,1.43,2.73
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Chela J.I.,3,50,6795,914,7,6,6,3,,,,,,,2,0,Completed,1.06,8,1.08,7,1.06,8,1.11,8.47,1.05,8,1.12,9.4,1.08,7.42
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Davydenko N.,Fognini F.,6,94,4285,556,7,5,6,1,,,,,,,2,0,Completed,1.22,4,1.22,4,1.22,4,1.25,4.6,1.22,3.75,1.27,4.6,1.23,4.02
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Youzhny M.,49,14,921,2725,1,6,7,6,7,5,,,,,2,1,Completed,4,1.22,3.75,1.25,3.75,1.25,4.28,1.27,3.75,1.22,4.33,1.3,3.9,1.24
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Hanescu V.,Polansky P.,54,207,870,240,6,4,7,6,,,,,,,2,0,Completed,1.53,2.37,1.65,2.15,1.57,2.25,1.63,2.47,1.53,2.38,1.67,2.47,1.6,2.26
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Nalbandian D.,Robredo T.,45,38,965,1075,6,3,6,0,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.32,3.82,1.29,3.25,1.32,4,1.26,3.71
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Benneteau J.,2,33,6905,1229,7,5,7,5,,,,,,,2,0,Completed,1.08,7,1.12,5.75,1.11,6,1.16,6.51,1.1,6,1.16,7,1.11,6.14
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Llodra M.,Almagro N.,35,16,1145,2210,7,6,6,2,,,,,,,2,0,Completed,2.37,1.53,2.35,1.55,2.38,1.53,2.58,1.58,2.38,1.53,2.58,1.67,2.3,1.58
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Monfils G.,De Bakker T.,18,46,2025,955,7,5,6,3,,,,,,,2,0,Completed,1.66,2.1,1.8,1.95,1.62,2.2,1.75,2.24,1.57,2.25,1.8,2.35,1.66,2.15
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Troicki V.,37,52,1100,885,6,4,3,6,6,0,,,,,2,1,Completed,2,1.72,2,1.75,1.91,1.8,2.29,1.71,1.83,1.83,2.29,1.84,2.03,1.74
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Murray A.,Malisse X.,4,51,5305,896,7,5,6,2,,,,,,,2,0,Completed,1.16,4.5,1.18,4.5,1.17,4.5,1.22,5.05,1.2,4,1.22,5.3,1.18,4.57
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Chardy J.,Verdasco F.,72,9,695,3475,6,7,7,6,6,2,,,,,2,1,Completed,2.5,1.5,2.35,1.55,2.5,1.5,2.62,1.57,2.5,1.5,2.65,1.63,2.45,1.53
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Anderson K.,Querrey S.,87,21,607,1715,7,6,4,6,6,4,,,,,2,1,Completed,2.75,1.4,2.6,1.45,2.75,1.4,2.92,1.48,2.63,1.44,2.95,1.48,2.77,1.42
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Lu Y.H.,Mathieu P.H.,44,95,965,555,3,6,7,6,7,6,,,,,2,1,Completed,1.72,2,1.7,2.1,1.8,1.91,1.8,2.15,1.73,2,1.8,2.17,1.74,2.03
46,Toronto,Rogers Masters,11/08/10,Masters 1000,Outdoor,Hard,2nd Round,3,Nadal R.,Wawrinka S.,1,24,10745,1520,7,6,6,3,,,,,,,2,0,Completed,1.07,7.5,1.07,7.5,1.08,7,1.12,7.47,1.07,7,1.12,8,1.09,7.08
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Berdych T.,Dolgopolov O.,7,49,3780,921,6,3,6,7,6,4,,,,,2,1,Completed,1.12,5.5,1.15,5,1.17,4.5,1.17,6.04,1.17,4.5,1.19,6.1,1.15,5.17
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Nalbandian D.,Soderling R.,45,5,965,4740,4,6,6,4,6,1,,,,,2,1,Completed,1.72,2,1.75,2,1.83,1.83,1.84,2.1,1.73,2,1.85,2.15,1.77,1.99
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Llodra M.,3,35,6795,1145,7,6,6,3,,,,,,,2,0,Completed,1.11,6,1.13,5.5,1.13,5.5,1.13,7.72,1.13,5.5,1.2,8.5,1.11,6.36
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Chardy J.,Davydenko N.,72,6,695,4285,6,3,6,2,,,,,,,2,0,Completed,3,1.36,2.7,1.43,2.63,1.44,3.1,1.43,2.5,1.5,3.15,1.5,2.79,1.41
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Kohlschreiber P.,Lu Y.H.,37,44,1100,965,6,7,7,5,6,0,,,,,2,1,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.47,2.93,1.44,2.63,1.5,3.1,1.44,2.7
