ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Henman T.,Seppi A.,9,211,7,5,1,6,6,3,,,,,2,1,Completed,1.167,5,1.22,4.1,1.17,4.67,1.2,3.3,1.225,4.75
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Hanescu V.,Mirnyi M.,74,30,7,6,3,6,6,3,,,,,2,1,Completed,2.1,1.667,2,1.77,1.9,1.85,1.85,1.65,2.06,1.794
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Federer R.,Gaudio G.,1,34,6,1,5,7,6,4,,,,,2,1,Completed,1.333,3.25,1.33,3.2,1.4,2.75,1.3,2.7,1.333,3.55
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Ferrer D.,Nalbandian D.,57,6,6,2,6,3,,,,,,,2,0,Completed,2.75,1.4,2.55,1.48,2.6,1.45,2.7,1.3,2.87,1.465
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Youzhny M.,Kiefer N.,44,33,6,4,6,7,6,2,,,,,2,1,Completed,1.667,2.1,1.7,2.1,1.75,2.05,1.7,1.8,1.704,2.22
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Moya C.,Sanchez D.,8,51,7,5,6,4,,,,,,,2,0,Completed,1.222,4,1.33,3.2,1.35,3.1,1.25,3,1.323,3.65
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Coria G.,Horna L.,3,45,6,2,3,6,6,2,,,,,2,1,Completed,1.125,5.5,1.12,6,1.15,5.2,1.15,3.8,1.125,7.25
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Safin M.,Sargsian S.,21,46,4,6,6,3,6,3,,,,,2,1,Completed,1.222,4,1.22,4.15,1.25,3.6,1.25,3,1.25,4.25
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Melzer J.,Labadze I.,68,49,6,1,6,0,,,,,,,2,0,Completed,2.1,1.667,2.1,1.7,2.1,1.7,1.9,1.6,2.13,1.752
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Saretta F.,Hernandez O.,55,93,6,4,6,3,,,,,,,2,0,Completed,1.615,2.2,1.67,2.15,1.65,2.15,1.6,1.9,1.73,2.17
