ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;Unnamed: 34;Unnamed: 35;EXW;EXL;PSW;PSL;Unnamed: 36;Unnamed: 37;WPts;LPts;UBW;UBL;LBW;LBL
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Black B.;Tarango J.;65,0;62,0;7,0;5,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Mirnyi M.;Voinea A.;57,0;93,0;6,0;3,0;5,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;El Aynaoui Y.;Huet S.;15,0;107,0;6,0;3,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Clavet F.;Prinosil D.;55,0;129,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Golmard J.;Goellner M.K.;88,0;407,0;6,0;3,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;di Pasquale A.;Sampras P.;54,0;2,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Clavet F.;Enqvist T.;55,0;8,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Zabaleta M.;Hewitt L.;38,0;10,0;5,0;7,0;6,0;3,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Pavel A.;Ferrero J.C.;70,0;16,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Corretja A.;Martin T.;11,0;23,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Kuerten G.;Grosjean S.;7,0;33,0;6,0;1,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Puerta M.;Schalken S.;30,0;44,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Pioline C.;Mirnyi M.;5,0;57,0;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Ferreira W.;Fromberg R.;52,0;63,0;6,0;4,0;3,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Safin M.;Mantilla F.;14,0;64,0;6,0;3,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Rosset M.;Black B.;41,0;65,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Medvedev A.;Gambill J.M.;25,0;72,0;1,0;6,0;7,0;5,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;El Aynaoui Y.;Martin A.;15,0;75,0;6,0;3,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Norman M.;Schuettler R.;4,0;78,0;3,0;6,0;6,0;3,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Henman T.;Golmard J.;12,0;88,0;2,0;6,0;6,0;4,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;2nd Round;3,0;Rios M.;Kohlmann M.;20,0;179,0;6,0;1,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Clavet F.;Corretja A.;55,0;11,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Zabaleta M.;Henman T.;38,0;12,0;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Norman M.;El Aynaoui Y.;4,0;15,0;3,0;6,0;6,0;1,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Pioline C.;Medvedev A.;5,0;25,0;4,0;6,0;6,0;2,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Rios M.;Puerta M.;20,0;30,0;7,0;6,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Safin M.;Rosset M.;14,0;41,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Kuerten G.;Ferreira W.;7,0;52,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;3rd Round;3,0;Pavel A.;di Pasquale A.;70,0;54,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;Quarterfinals;3,0;Kuerten G.;Norman M.;7,0;4,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;Quarterfinals;3,0;Safin M.;Pioline C.;14,0;5,0;7,0;6,0;4,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;Quarterfinals;3,0;Pavel A.;Zabaleta M.;70,0;38,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;Quarterfinals;3,0;Rios M.;Clavet F.;20,0;55,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;Semifinals;3,0;Safin M.;Rios M.;14,0;20,0;7,0;6,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;Semifinals;3,0;Kuerten G.;Pavel A.;7,0;70,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;The Final;5,0;Kuerten G.;Safin M.;7,0;14,0;6,0;4,0;5,0;7,0;6,0;4,0;5,0;7,0;7,0;6,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Agassi A.;Sanguinetti D.;3,0;56,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,22;4,0;1,2;3,4;1,2;3,2;1,25;3,5;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Arazi H.;Schalken S.;28,0;30,0;6,0;3,0;1,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,67;2,05;1,63;1,95;1,7;1,8;1,615;2,2;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Burgsmuller L.;Henman T.;96,0;10,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;3,0;1,35;2,65;1,31;2,7;1,3;2,875;1,364;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Calatrava A.;Sampras P.;50,0;4,0;6,0;7,0;6,0;3,0;6,0;4,0;;;;;2,0;1,0;Completed;2,2;1,6;2,8;1,3;2,3;1,4;2,2;1,615;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Calleri A.;El Aynaoui Y.;75,0;61,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,8;1,9;;;1,75;1,75;1,8;1,909;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Chang M.;Gustafsson M.;35,0;66,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;2,1;1,67;;;2,0;1,55;2,1;1,667;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Corretja A.;Rusedski G.;13,0;49,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,2;4,0;1,25;3,0;1,2;3,2;1,222;3,75;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Costa A.;Clavet F.;53,0;38,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,67;2,05;1,6;2,0;1,55;2,0;1,615;2,2;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Escude N.;Kafelnikov Y.;36,0;5,0;7,0;5,0;7,0;5,0;;;;;;;2,0;0,0;Completed;2,7;1,4;2,5;1,37;2,5;1,35;2,75;1,4;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Ferrero J.C.;Bruguera S.;6,0;68,0;3,0;6,0;6,0;1,0;6,0;4,0;;;;;2,0;1,0;Completed;1,25;3,5;1,2;3,45;1,25;3,0;1,25;3,5;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Gambill J.M.;Pretzsch A.;15,0;162,0;6,0;2,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,5;2,45;1,35;2,5;1,4;2,3;1,4;2,75;;;;;;;;;;;;;;;;
31,0;Hamburg;Hamburg TMS;14/05/01;Masters;Outdoor;Clay;1st Round;3,0;Gaudio G.;Puerta M.;40,0;81,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;1,36;2,57;1,35;2,5;1,4;2,75;;;;;;;;;;;;;;;;
