ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
29,Madrid,Mutua Madrid Open,08/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Raonic M.,Nalbandian D.,23,43,1460,995,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.5,2.5,1.64,2.42,1.53,2.38,1.67,2.6,1.56,2.36
29,Madrid,Mutua Madrid Open,08/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Melzer J.,Lopez F.,33,16,1182,1840,3,6,7,6,6,4,,,,,2,1,Completed,2.75,1.4,2.5,1.5,2.62,1.44,3.05,1.43,2.63,1.44,3.05,1.55,2.72,1.44
29,Madrid,Mutua Madrid Open,08/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Del Potro J.M.,Mayer F.,11,24,2655,1435,6,4,6,2,,,,,,,2,0,Completed,1.06,10,1.08,7,1.07,7.5,1.07,10.75,1.07,8,1.1,11.1,1.07,8.32
29,Madrid,Mutua Madrid Open,08/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Gasquet R.,Bellucci T.,18,69,1735,680,4,6,6,4,7,6,,,,,2,1,Completed,1.53,2.37,1.65,2.15,1.57,2.25,1.59,2.52,1.62,2.2,1.67,2.8,1.6,2.29
29,Madrid,Mutua Madrid Open,08/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Berdych T.,Anderson K.,7,35,3990,1170,6,4,6,3,,,,,,,2,0,Completed,1.2,4.33,1.22,4,1.22,4,1.25,4.42,1.17,5,1.29,5,1.22,4.1
29,Madrid,Mutua Madrid Open,08/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Gimeno-Traver D.,1,137,12020,399,6,2,2,6,6,3,,,,,2,1,Completed,1.01,26,1.01,15,1.01,17,1.01,51,1.01,17,1.03,54.12,1.01,20.5
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Cilic M.,Isner J.,22,10,1505,2725,7,6,7,6,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,1.83,1.83,2.3,1.69,2.2,1.67,2.5,1.83,2.17,1.66
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Ferrer D.,Stepanek R.,6,26,4280,1340,7,6,6,2,,,,,,,2,0,Completed,1.08,8,1.08,7,1.08,7,1.09,8.91,1.1,7,1.1,9,1.08,7.55
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Wawrinka S.,Melzer J.,21,33,1505,1182,6,1,6,4,,,,,,,2,0,Completed,1.33,3.25,1.3,3.3,1.33,3.25,1.38,3.33,1.33,3.25,1.38,3.55,1.33,3.25
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Monfils G.,Andreev I.,14,77,2120,637,6,3,1,0,,,,,,,1,0,Retired,1.28,3.5,1.28,3.5,1.33,3.25,1.33,3.64,1.29,3.5,1.35,3.75,1.3,3.39
