ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Nalbandian D.,Berdych T.,7,22,2175,1205,6,2,6,7,6,1,,,,,2,1,Completed,1.66,2.1,1.7,2.15,1.667,2.1,1.735,2.26,1.67,2.15
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Monfils G.,Gonzalez F.,18,10,1283,1645,6,3,6,4,,,,,,,2,0,Completed,1.61,2.2,1.75,2.05,1.72,2,1.794,2.16,1.7,2.1
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Djokovic N.,Hanescu V.,3,73,4725,579,6,7,7,6,3,1,,,,,1,1,Retired,1.05,9,1.08,7.94,1.071,7.5,1.071,12,1.04,10
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Del Potro J.M.,Nieminen J.,9,33,1685,1030,6,2,4,2,,,,,,,1,0,Retired,1.16,4.5,1.22,4.33,1.2,4.333,1.227,5,1.2,4.35
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Lopez F.,Ferrer D.,40,5,865,2315,6,4,7,6,,,,,,,2,0,Completed,2,1.72,1.6,2.2,1.833,1.833,2.11,1.826,1.96,1.8
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Wawrinka S.,Kohlschreiber P.,12,31,1520,1065,3,6,7,5,7,6,,,,,2,1,Completed,2.25,1.57,2.05,1.75,2.1,1.667,2.24,1.746,2.15,1.67
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Federer R.,Stepanek R.,2,30,5930,1065,6,3,7,6,,,,,,,2,0,Completed,1.07,7.5,1.09,7.33,1.071,7.5,1.125,8.21,1.1,6.75
60,Madrid,Madrid Masters,15/10/08,Masters,Indoor,Hard,2nd Round,3,Roddick A.,Robredo T.,8,19,1970,1255,6,3,6,4,,,,,,,2,0,Completed,1.25,3.75,1.25,3.95,1.25,3.75,1.277,4.31,1.25,3.8
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Simon G.,Ginepri R.,16,63,1390,660,6,7,6,4,7,6,,,,,2,1,Completed,1.5,2.5,1.5,2.55,1.571,2.25,1.592,2.59,1.6,2.28
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Murray A.,Cilic M.,4,24,2995,1170,7,5,7,6,,,,,,,2,0,Completed,1.28,3.5,1.32,3.4,1.286,3.5,1.391,3.36,1.3,3.4
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Del Potro J.M.,Nalbandian D.,9,7,1685,2175,6,4,6,2,,,,,,,2,0,Completed,2.25,1.57,2.4,1.6,2.25,1.571,2.44,1.649,2.18,1.65
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Lopez F.,Wawrinka S.,40,12,865,1520,6,4,6,4,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.2,1.615,2.24,1.746,2.15,1.67
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Monfils G.,Roddick A.,18,8,1283,1970,6,4,3,6,6,3,,,,,2,1,Completed,2.5,1.5,2.57,1.51,2.625,1.444,2.63,1.578,2.58,1.48
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Nadal R.,Gasquet R.,1,14,7000,1415,6,4,6,2,,,,,,,2,0,Completed,1.2,4.33,1.24,4.14,1.2,4.333,1.25,4.6,1.21,4.2
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Federer R.,Tsonga J.W.,2,15,5930,1410,6,4,6,1,,,,,,,2,0,Completed,1.14,5,1.18,5.01,1.143,5,1.183,5.95,1.15,5.2
60,Madrid,Madrid Masters,16/10/08,Masters,Indoor,Hard,3rd Round,3,Karlovic I.,Djokovic N.,21,3,1215,4725,7,6,7,6,,,,,,,2,0,Completed,4,1.22,3.95,1.25,4.333,1.2,4.1,1.294,3.7,1.26
60,Madrid,Madrid Masters,17/10/08,Masters,Indoor,Hard,Quarterfinals,3,Murray A.,Monfils G.,4,18,2995,1283,6,2,6,2,,,,,,,2,0,Completed,1.33,3.4,1.32,3.4,1.364,3,1.38,3.43,1.35,3.1
60,Madrid,Madrid Masters,17/10/08,Masters,Indoor,Hard,Quarterfinals,3,Federer R.,Del Potro J.M.,2,9,5930,1685,6,3,6,3,,,,,,,2,0,Completed,1.25,4,1.3,3.55,1.286,3.5,1.328,3.75,1.3,3.4
60,Madrid,Madrid Masters,17/10/08,Masters,Indoor,Hard,Quarterfinals,3,Nadal R.,Lopez F.,1,40,7000,865,6,4,6,4,,,,,,,2,0,Completed,1.07,8,1.08,7.94,1.083,7,1.131,7.92,1.09,7
60,Madrid,Madrid Masters,17/10/08,Masters,Indoor,Hard,Quarterfinals,3,Simon G.,Karlovic I.,16,21,1390,1215,7,6,4,6,7,6,,,,,2,1,Completed,2.5,1.53,2.32,1.61,2.2,1.615,2.29,1.719,2.28,1.6
60,Madrid,Madrid Masters,18/10/08,Masters,Indoor,Hard,Semifinals,3,Murray A.,Federer R.,4,2,2995,5930,3,6,6,3,7,5,,,,,2,1,Completed,3.4,1.33,3.4,1.32,3,1.364,3.41,1.383,3.2,1.34
60,Madrid,Madrid Masters,18/10/08,Masters,Indoor,Hard,Semifinals,3,Simon G.,Nadal R.,16,1,1390,7000,3,6,7,5,7,6,,,,,2,1,Completed,8,1.07,6.75,1.1,7,1.083,8.09,1.128,7.6,1.08
60,Madrid,Madrid Masters,19/10/08,Masters,Indoor,Hard,The Final,3,Murray A.,Simon G.,4,16,2995,1390,6,4,7,6,,,,,,,2,0,Completed,1.22,4.33,1.35,3.95,1.2,4.333,1.275,4.33,1.28,3.5
