ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Arazi H.,Agassi A.,34,1,6,3,3,6,6,3,,,,,2,1,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Kiefer N.,33,4,6,1,6,4,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Escude N.,Pioline C.,30,11,7,5,7,6,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,El Aynaoui Y.,21,16,7,5,6,2,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Costa A.,Koubek S.,13,20,3,6,7,5,6,3,,,,,2,1,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Dosedel S.,Mantilla F.,51,23,6,4,6,1,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Chang M.,Ferrero J.C.,40,24,7,5,6,4,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Henman T.,Alami K.,9,25,7,5,6,2,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Kafelnikov Y.,Spadea V.,3,27,6,1,6,1,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Safin M.,Meligeni F.,31,29,6,2,3,6,6,2,,,,,2,1,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Sampras P.,Medvedev A.,2,32,6,4,6,3,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Norman M.,Squillari F.,5,37,6,3,6,4,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Kucera K.,26,38,6,2,6,2,,,,,,,2,0,Completed
19,Indian Wells,Indian Wells TMS,13/03/00,Masters,Outdoor,Hard,1st Round,3,Zabaleta M.,Vicente F.,28,39,7,5,7,6,,,,,,,2,0,Completed
