ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,B&WW,B&WL,IWW,IWL,SBW,SBL
19,Indian Wells,Pacific Life Open,12/03/03,Masters,Outdoor,Hard,1st Round,3,Blake J.,Martin T.,25,71,6,1,3,6,7,5,,,,,2,1,Completed,1.444,2.625,1.3,2.85,1.4,2.3,1.364,2.875
19,Indian Wells,Pacific Life Open,10/03/03,Masters,Outdoor,Hard,1st Round,3,Calleri A.,Lapentti N.,41,39,6,4,6,3,,,,,,,2,0,Completed,1.833,1.833,1.64,1.91,1.7,1.8,1.833,1.833
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Nalbandian D.,30,10,4,6,6,4,7,5,,,,,2,1,Completed,2.2,1.615,2.2,1.46,1.85,1.65,2.1,1.667
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Clement A.,Kratochvil M.,43,74,6,2,3,6,6,2,,,,,2,1,Completed,2.2,1.615,2,1.56,2,1.55,2.25,1.571
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Coria G.,Sanguinetti D.,33,89,6,0,2,6,6,0,,,,,2,1,Completed,1.444,2.625,1.37,2.45,1.5,2.1,1.444,2.625
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Acasuso J.,17,47,7,6,7,6,,,,,,,2,0,Completed,1.25,3.75,1.18,3.5,1.3,2.7,1.333,3
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Costa A.,Krajicek R.,9,79,7,6,7,6,,,,,,,2,0,Completed,2.2,1.615,2,1.56,2,1.55,2.2,1.615
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Federer R.,Mantilla F.,4,46,6,7,6,4,4,1,,,,,1,1,Retired,1.2,4.333,1.11,4.5,1.15,3.8,1.167,4.5
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Sargsian S.,3,81,6,4,6,7,6,4,,,,,2,1,Completed,1.286,3.5,1.19,3.47,1.25,3,1.286,3.25
19,Indian Wells,Pacific Life Open,11/03/03,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Lee H.T.,80,59,7,6,4,6,6,4,,,,,2,1,Completed,2.2,1.615,2.15,1.5,2,1.55,2.1,1.667
