ATP;Location;Tournament;Date;Series;Court;Surface;Surface_WinRate_Favorite;Surface_WinRate_Not_Favorite;Surface_Matches_Favorite;Surface_Matches_Not_Favorite;Round;Round_Code;Best of;Player_Favorite;Player_Not_Favorite;WinStreak_Favorite;WinStreak_Not_Favorite;Win_Streak_Diff;Rank_Favorite;Rank_Not_Favorite;Rank_Diff_Signed;Rank_Diff_Abs;Favorite_Wins;GrandSlams_Favorite;GrandSlams_Not_Favorite;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;johansson t.;ferreira w.;1;1;0;42,0;53,0;-11,0;11,0;0;0;0;ferreira w.;johansson t.;53,0;42,0;6,0;3,0;6,0;2,0;6,0;7,0;4,0;6,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;novak j.;ilie a.;1;1;0;37,0;46,0;-9,0;9,0;0;0;0;ilie a.;novak j.;46,0;37,0;6,0;3,0;7,0;6,0;6,0;7,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;hewitt l.;corretja a.;1;1;0;17,0;30,0;-13,0;13,0;1;0;0;hewitt l.;corretja a.;17,0;30,0;6,0;0,0;6,0;0,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;haas t.;el aynaoui y.;1;1;0;12,0;29,0;-17,0;17,0;0;0;0;el aynaoui y.;haas t.;29,0;12,0;7,0;5,0;6,0;3,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;krajicek r.;escude n.;1;1;0;10,0;34,0;-24,0;24,0;0;0;0;escude n.;krajicek r.;34,0;10,0;2,0;6,0;6,0;3,0;6,0;1,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;mirnyi m.;dupuis a.;1;1;0;67,0;98,0;-31,0;31,0;1;0;0;mirnyi m.;dupuis a.;67,0;98,0;6,0;7,0;7,0;6,0;7,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;0,0;1;0;2nd Round;2;5;portas a.;voinea a.;1;1;0;91,0;95,0;-4,0;4,0;0;0;0;voinea a.;portas a.;95,0;91,0;6,0;2,0;6,0;1,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;grosjean s.;hill m.;1;1;0;26,0;238,0;-212,0;212,0;1;0;0;grosjean s.;hill m.;26,0;238,0;4,0;6,0;6,0;1,0;7,0;6,0;6,0;0,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;1,0;1;1;3rd Round;3;5;sampras p.;black w.;2;2;0;3,0;151,0;-148,0;148,0;1;0;0;sampras p.;black w.;3,0;151,0;6,0;7,0;3,0;6,0;6,0;3,0;7,0;5,0;6,0;3,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,5;1,0;2;1;4th Round;4;5;kafelnikov y.;rochus c.;3;3;0;2,0;120,0;-118,0;118,0;1;0;0;kafelnikov y.;rochus c.;2,0;120,0;6,0;1,0;6,0;3,0;7,0;5,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;1,0;2;1;4th Round;4;5;agassi a.;philippoussis m.;6;3;3;1,0;19,0;-18,0;18,0;1;1;0;agassi a.;philippoussis m.;1,0;19,0;6,0;4,0;7,0;6,0;5,0;7,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;1,0;1;1;4th Round;4;5;escude n.;arazi h.;3;0;3;34,0;41,0;-7,0;7,0;0;0;0;arazi h.;escude n.;41,0;34,0;6,0;4,0;6,0;3,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;1,0;1;1;4th Round;4;5;kiefer n.;ferreira w.;0;3;-3;4,0;53,0;-49,0;49,0;1;0;0;kiefer n.;ferreira w.;4,0;53,0;6,0;3,0;6,0;4,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;0,0;1;0;4th Round;4;5;el aynaoui y.;clement a.;0;3;-3;29,0;54,0;-25,0;25,0;1;0;0;el aynaoui y.;clement a.;29,0;54,0;3,0;6,0;6,0;3,0;6,0;4,0;3,0;6,0;10,0;8,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;1,0;2;1;4th Round;4;5;sampras p.;dosedel s.;1;3;-2;3,0;64,0;-61,0;61,0;1;0;0;sampras p.;dosedel s.;3,0;64,0;6,0;1,0;6,0;2,0;3,0;6,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,6666666666666666;1,0;3;2;Quarterfinals;5;5;kafelnikov y.;el aynaoui y.;2;3;-1;2,0;29,0;-27,0;27,0;1;0;0;kafelnikov y.;el aynaoui y.;2,0;29,0;6,0;0,0;6,0;3,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
