ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;EXW;EXL;LBW;LBL;SJW;SJL;UBW;UBL;PSW;PSL;MaxW;MaxL;AvgW;AvgL
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;1st Round;3;Ljubicic I.;Benneteau J.;37;33;1070;1154;6,0;3,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,61;2,2;1,6;2,35;1,727;2,0;1,73;2,0;1,7;2,1;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;1st Round;3;Soderling R.;Hanescu V.;11;27;3125;1286;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,1;6,5;1,12;5,9;1,12;5,5;1,1;6,0;1,13;5,7;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;1st Round;3;Berdych T.;Cilic M.;20;13;1740;2495;7,0;6,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;2,62;1,44;2,35;1,55;2,5;1,5;2,25;1,57;2,44;1,53;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;1st Round;3;Monfils G.;Mathieu P.H.;14;35;2285;1100;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,36;3,0;1,35;3,05;1,4;2,75;1,33;3,0;1,38;2,95;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;1st Round;3;Troicki V.;Monaco J.;31;28;1170;1225;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,44;2,62;1,48;2,53;1,5;2,5;1,5;2,5;1,5;2,52;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Davydenko N.;Kunitsyn I.;8;116;3710;490;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,07;7,5;1,07;7,19;1,1;6,5;1,07;7,0;1,09;7,0;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Stepanek R.;Beck A.;16;36;2055;1071;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,25;3,75;1,3;3,35;1,28;3,5;1,29;3,25;1,27;3,6;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Gonzalez F.;Bellucci T.;12;53;2700;833;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,22;4,0;1,21;4,06;1,2;4,33;1,17;4,5;1,25;3,8;;;;;;
56;Shanghai;Shanghai Masters;13/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Wawrinka S.;Roddick A.;22;6;1650;4830;3,0;4,0;;;;;;;;;0,0;0,0;Retired;3,4;1,3;3,49;1,28;3,5;1,286;3,5;1,25;3,5;1,29;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Schuettler R.;Haas T.;99;18;545;1780;6,0;4,0;;;;;;;;;1,0;0,0;Retired;5,5;1,12;4,8;1,18;5,0;1,143;5,5;1,14;5,7;1,13;;;;;;
