ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
49,0;Cincinnati;Western & Southern Financial Group Masters;15/08/2013;Masters 1000;Outdoor;Hard;3rd Round;3,0;Murray A.;Benneteau J.;2,0;36,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;1,06;10,0;;;1,07;7,0;1,07;11,5;8610,0;1105,0;;;1,08;7,0;1,07;8,0;1,12;11,5;1,08;7,85
49,0;Cincinnati;Western & Southern Financial Group Masters;16/08/2013;Masters 1000;Outdoor;Hard;3rd Round;3,0;Nadal R.;Dimitrov G.;3,0;29,0;6,0;2,0;5,0;7,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;1,15;5,0;;;1,12;5,25;1,17;6,16;7860,0;1305,0;;;1,12;5,5;1,12;6,0;1,2;6,16;1,14;5,39
49,0;Cincinnati;Western & Southern Financial Group Masters;16/08/2013;Masters 1000;Outdoor;Hard;3rd Round;3,0;Berdych T.;Robredo T.;6,0;23,0;6,0;3,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;1,25;3,75;;;1,22;3,8;1,23;4,88;4865,0;1550,0;;;1,25;3,75;1,25;3,75;1,33;4,88;1,24;3,99
49,0;Cincinnati;Western & Southern Financial Group Masters;16/08/2013;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Del Potro J.M.;Tursunov D.;7,0;44,0;6,0;4,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;1,2;4,5;;;1,22;3,8;1,23;4,88;4740,0;946,0;;;1,22;4,33;1,22;4,33;1,25;5,05;1,22;4,24
49,0;Cincinnati;Western & Southern Financial Group Masters;16/08/2013;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Isner J.;Djokovic N.;22,0;1,0;7,0;6,0;3,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;7,0;1,1;;;6,0;1,1;7,58;1,12;1585,0;11400,0;;;6,0;1,12;6,0;1,12;7,58;1,14;6,15;1,12
49,0;Cincinnati;Western & Southern Financial Group Masters;16/08/2013;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Berdych T.;Murray A.;6,0;2,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;3,0;1,4;;;2,75;1,4;3,14;1,43;4865,0;8610,0;;;2,75;1,44;2,88;1,4;3,2;1,45;2,84;1,41
49,0;Cincinnati;Western & Southern Financial Group Masters;17/08/2013;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Nadal R.;Federer R.;3,0;5,0;5,0;7,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;1,28;3,75;;;1,25;3,5;1,31;3,91;7860,0;5515,0;;;1,29;3,75;1,29;3,5;1,35;4,05;1,29;3,57
49,0;Cincinnati;Western & Southern Financial Group Masters;17/08/2013;Masters 1000;Outdoor;Hard;Semifinals;3,0;Isner J.;Del Potro J.M.;22,0;7,0;6,0;7,0;7,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;2,75;1,44;;;2,4;1,5;2,85;1,5;1585,0;4740,0;;;2,62;1,5;2,63;1,5;2,88;1,57;2,59;1,49
49,0;Cincinnati;Western & Southern Financial Group Masters;17/08/2013;Masters 1000;Outdoor;Hard;Semifinals;3,0;Nadal R.;Berdych T.;3,0;6,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;1,28;3,75;;;1,28;3,3;1,34;3,65;7860,0;4865,0;;;1,29;3,75;1,29;3,5;1,34;4,05;1,29;3,59
49,0;Cincinnati;Western & Southern Financial Group Masters;18/08/2013;Masters 1000;Outdoor;Hard;The Final;3,0;Nadal R.;Isner J.;3,0;22,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;1,2;4,5;;;1,14;4,75;1,23;4,8;7860,0;1585,0;;;1,17;5,0;1,17;5,0;1,23;5,3;1,18;4,73
