ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,2nd Round,5,Woodruff C.,Popp A.,68,84,4,6,6,3,6,4,6,4,,,3,1,Completed,1.6,2.2,1.45,2.25,1.45,2,1.57,2.25
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,2nd Round,5,Youzhny M.,Zabaleta M.,113,62,5,7,7,6,6,2,6,4,,,3,1,Completed,1.8,1.9,2.05,1.55,1.9,1.5,2,1.73
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Agassi A.,Prinosil D.,6,39,7,6,5,0,,,,,,,1,0,Retired,1.06,7.5,1.05,6,1.1,3.5,1.08,6.5
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Clement A.,Federer R.,18,29,7,6,6,4,6,4,,,,,3,0,Completed,2.6,1.45,2,1.6,1.8,1.6,2.25,1.57
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Grosjean S.,Johansson T.,19,34,6,4,6,1,6,4,,,,,3,0,Completed,1.6,2.2,1.65,1.9,1.6,1.8,1.67,2.1
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Henman T.,Arthurs W.,10,82,6,3,6,2,0,6,6,2,,,3,1,Completed,1.22,4,1.2,3.5,1.25,2.6,1.2,4
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Hrbaty D.,Rochus C.,16,73,6,4,6,4,6,2,,,,,3,0,Completed,1.28,3.4,1.25,3.1,,,1.25,3.5
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Ilie A.,Youzhny M.,49,113,7,6,6,4,6,2,,,,,3,0,Completed,1.65,2.15,1.5,2.2,1.45,2,1.67,2.1
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Kafelnikov Y.,Woodruff C.,5,68,6,7,7,5,6,2,6,3,,,3,1,Completed,1.14,5,1.15,3.8,1.15,3,1.17,4.5
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Martin T.,Pioline C.,54,17,6,4,3,6,6,3,6,4,,,3,1,Completed,1.75,1.95,1.7,1.85,1.7,1.7,1.73,2
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Moya C.,Hewitt L.,42,7,4,6,6,1,5,7,6,2,7,5,3,2,Completed,2.55,1.45,2.55,1.35,2.4,1.3,2.75,1.4
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Norman M.,Calatrava A.,4,50,7,6,3,6,7,6,6,3,,,3,1,Completed,1.16,4.75,1.1,4.5,1.1,3.5,1.14,5
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Rafter P.,Kratochvil M.,15,94,6,4,6,1,7,5,,,,,3,0,Completed,1.22,4,1.1,4.8,1.1,3.5,1.25,3.75
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Rusedski G.,Burgsmuller L.,65,185,6,1,6,2,6,1,,,,,3,0,Completed,1.25,3.75,1.15,3.8,1.15,3,1.22,3.75
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Safin M.,Tabara M.,2,69,6,1,6,1,6,4,,,,,3,0,Completed,1.15,4.75,1.1,4.8,1.1,3.5,1.18,4.33
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Sampras P.,Chela J.I.,3,64,6,4,4,6,4,6,7,5,6,2,3,2,Completed,1.05,8,1.04,6.5,1.05,4,1.08,6.5
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Schuettler R.,Nestor D.,58,218,6,4,6,2,7,5,,,,,3,0,Completed,1.6,2.2,1.45,2.25,1.5,1.9,1.53,2.38
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,3rd Round,5,Vinciguerra A.,Ferreira W.,52,13,6,0,3,6,6,4,6,3,,,3,1,Completed,2.2,1.6,2.25,1.45,2.1,1.4,2.25,1.57
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Agassi A.,Ilie A.,6,49,6,7,6,3,6,0,6,3,,,3,1,Completed,1.08,6.75,1.11,5,1.1,3.5,1.1,6
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Clement A.,Rusedski G.,18,65,6,3,6,2,7,5,,,,,3,0,Completed,1.85,1.9,1.8,1.8,1.8,1.6,1.95,1.75
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Grosjean S.,Norman M.,19,4,7,6,6,3,0,6,6,4,,,3,1,Completed,2.4,1.53,2.3,1.47,1.9,1.5,2.5,1.5
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Hrbaty D.,Safin M.,16,2,6,2,7,6,6,4,,,,,3,0,Completed,3.25,1.3,3,1.31,2.4,1.3,3,1.33
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Kafelnikov Y.,Vinciguerra A.,5,52,7,5,7,5,6,1,,,,,3,0,Completed,1.18,4.35,1.27,3.2,1.15,3,1.22,3.75
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Martin T.,Sampras P.,54,3,6,7,6,3,6,4,6,4,,,3,1,Completed,3.65,1.25,3.5,1.25,2.8,1.2,3.5,1.25
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Moya C.,Schuettler R.,42,58,7,6,6,3,6,4,,,,,3,0,Completed,1.33,3.1,1.25,3.2,1.2,2.8,1.4,2.75
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,4th Round,5,Rafter P.,Henman T.,15,10,6,2,6,3,6,3,,,,,3,0,Completed,1.75,2,1.85,1.85,1.7,1.7,1.83,1.83
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,Quarterfinals,5,Agassi A.,Martin T.,6,54,7,5,6,3,6,4,,,,,3,0,Completed,1.18,4.4,1.2,3.5,1.2,2.8,1.2,4.33
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,Quarterfinals,5,Clement A.,Kafelnikov Y.,18,5,6,4,5,7,7,6,7,6,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,Quarterfinals,5,Grosjean S.,Moya C.,19,42,6,1,6,4,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,Quarterfinals,5,Rafter P.,Hrbaty D.,15,16,6,2,6,7,7,5,6,0,,,3,1,Completed,1.48,2.5,1.45,2.3,1.45,2,1.53,2.38
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,Semifinals,5,Agassi A.,Rafter P.,6,15,7,5,2,6,6,7,6,2,6,3,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,Semifinals,5,Clement A.,Grosjean S.,18,19,5,7,2,6,7,6,7,5,6,2,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,The Final,5,Agassi A.,Clement A.,6,18,6,4,6,2,6,2,,,,,3,0,Completed,,,,,,,,
