ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
60,Shanghai,Shanghai Masters,07/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Marterer M.,41,64,1100,809,6,3,7,6,,,,,,,2,0,Completed,1.4,2.75,1.47,2.85,1.44,2.75,1.53,2.69,1.53,2.85,1.49,2.66
60,Shanghai,Shanghai Masters,07/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Jarry N.,Zverev M.,48,71,1020,765,6,4,3,6,7,6,,,,,2,1,Completed,1.57,2.25,1.65,2.35,1.61,2.25,1.61,2.49,1.67,2.49,1.6,2.36
60,Shanghai,Shanghai Masters,07/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Gojowczyk P.,Sock J.,68,17,786,1850,6,4,6,7,6,3,,,,,2,1,Completed,2.1,1.66,2.15,1.77,2.1,1.73,2.09,1.83,2.2,1.83,2.1,1.75
60,Shanghai,Shanghai Masters,07/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Khachanov K.,Johnson S.,27,32,1605,1270,6,7,6,3,6,4,,,,,2,1,Completed,1.4,2.75,1.47,2.85,1.44,2.75,1.47,2.92,1.51,2.92,1.47,2.71
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,51,40,974,1115,3,6,6,4,6,3,,,,,2,1,Completed,2.62,1.44,2.75,1.5,2.62,1.5,2.76,1.51,2.84,1.51,2.67,1.48
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rublev A.,28,73,1570,750,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.65,2.35,1.67,2.2,1.64,2.41,1.65,2.43,1.6,2.34
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Dzumhur D.,42,39,1092,1145,6,3,6,4,,,,,,,2,0,Completed,1.72,2,1.8,2.1,1.8,2,1.78,2.17,1.8,2.25,1.75,2.09
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Fritz T.,Haase R.,59,44,858,1045,6,3,7,6,,,,,,,2,0,Completed,1.5,2.5,1.6,2.45,1.57,2.37,1.59,2.52,1.6,2.7,1.56,2.46
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Schwartzman D.,57,16,920,1975,6,3,6,4,,,,,,,2,0,Completed,1.9,1.8,2,1.9,1.91,1.91,2,1.91,2.13,1.95,1.96,1.85
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Tsitsipas S.,Monfils G.,15,37,1987,1195,7,6,4,6,6,4,,,,,2,1,Completed,1.8,1.9,1.85,2.05,1.8,2,1.88,2.03,1.91,2.11,1.81,2.02
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Cecchinato M.,Simon G.,21,31,1768,1345,6,7,6,4,7,6,,,,,2,1,Completed,3.75,1.25,3.85,1.3,3.75,1.28,3.88,1.3,3.95,1.3,3.7,1.28
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Mcdonald M.,Raonic M.,78,20,701,1800,6,3,5,7,6,3,,,,,2,1,Completed,5.5,1.14,5.9,1.16,5.5,1.14,6.42,1.15,6.5,1.18,5.73,1.14
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Wawrinka S.,19,69,1815,785,4,6,6,4,6,3,,,,,2,1,Completed,2.25,1.57,2.2,1.72,2.1,1.73,2.14,1.79,2.33,1.8,2.13,1.72
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Klahn B.,Kyrgios N.,104,38,560,1170,4,6,6,4,6,3,,,,,2,1,Completed,3.75,1.25,4,1.28,4,1.25,4.08,1.28,4.33,1.3,3.91,1.26
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Seppi A.,Mannarino A.,47,46,1021,1030,6,4,6,4,,,,,,,2,0,Completed,1.9,1.8,1.95,1.95,1.91,1.91,1.89,2.01,2.03,2.05,1.89,1.91
60,Shanghai,Shanghai Masters,08/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Wu Y.,Li Z.,415,254,91,214,7,6,6,2,,,,,,,2,0,Completed,1.4,2.75,1.47,2.85,1.44,2.75,1.45,3,1.5,3,1.46,2.74
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Paire B.,Carreno Busta P.,62,24,850,1750,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.67,2.3,1.61,2.25,1.74,2.23,1.74,2.32,1.68,2.21
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Chung H.,Hurkacz H.,26,93,1630,597,6,4,2,6,6,1,,,,,2,1,Completed,1.28,3.5,1.33,3.6,1.3,3.5,1.43,3.08,1.43,3.6,1.35,3.25
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,Mayer L.,25,53,1670,936,1,6,6,2,6,1,,,,,2,1,Completed,1.36,3,1.42,3.1,1.4,3,1.44,3.03,1.45,3.24,1.41,2.95
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,De Minaur A.,Pospisil V.,33,82,1238,691,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.5,2.75,1.5,2.62,1.52,2.74,1.53,2.85,1.48,2.66
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Medvedev D.,Zhang Ze,22,216,1762,257,3,6,7,6,6,4,,,,,2,1,Completed,1.11,6.5,1.13,7,1.11,6.5,1.15,6.62,1.15,7,1.13,6.19
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Basilashvili N.,Shapovalov D.,23,29,1757,1430,6,2,6,2,,,,,,,2,0,Completed,2.5,1.5,2.55,1.57,2.5,1.53,2.56,1.58,2.6,1.61,2.48,1.55
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Kukushkin M.,Ramos-Vinolas A.,83,50,686,975,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,1.55,2.6,1.53,2.5,1.63,2.44,1.63,2.63,1.57,2.43
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,1st Round,3,Edmund K.,Krajinovic F.,14,35,1990,1232,7,5,6,3,,,,,,,2,0,Completed,1.44,2.62,1.53,2.65,1.53,2.5,1.51,2.77,1.54,2.93,1.5,2.62
60,Shanghai,Shanghai Masters,09/10/18,Masters 1000,Outdoor,Hard,2nd Round,3,Gojowczyk P.,Fucsovics M.,68,42,786,1092,6,4,6,7,7,6,,,,,2,1,Completed,2.25,1.57,2.35,1.65,2.25,1.61,2.41,1.64,2.53,1.67,2.31,1.63
