ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Troicki V.,Monaco J.,31,28,1170,1225,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.48,2.53,1.5,2.5,1.5,2.5,1.5,2.52
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Davydenko N.,Kunitsyn I.,8,116,3710,490,6,4,6,2,,,,,,,2,0,Completed,1.07,7.5,1.07,7.19,1.1,6.5,1.07,7,1.09,7
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Stepanek R.,Beck A.,16,36,2055,1071,7,5,6,4,,,,,,,2,0,Completed,1.25,3.75,1.3,3.35,1.28,3.5,1.29,3.25,1.27,3.6
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Gonzalez F.,Bellucci T.,12,53,2700,833,6,3,6,4,,,,,,,2,0,Completed,1.22,4,1.21,4.06,1.2,4.33,1.17,4.5,1.25,3.8
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Wawrinka S.,Roddick A.,22,6,1650,4830,3,4,,,,,,,,,0,0,Retired,3.4,1.3,3.49,1.28,3.5,1.286,3.5,1.25,3.5,1.29
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Schuettler R.,Haas T.,99,18,545,1780,6,4,,,,,,,,,1,0,Retired,5.5,1.12,4.8,1.18,5,1.143,5.5,1.14,5.7,1.13
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Monfils G.,Hewitt L.,14,23,2285,1555,4,6,6,4,6,2,,,,,2,1,Completed,1.44,2.62,1.48,2.53,1.5,2.5,1.53,2.5,1.5,2.52
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Berdych T.,Safin M.,20,86,1740,600,3,6,6,4,6,4,,,,,2,1,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.33,3.2,1.35,3.1
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Robredo T.,Mayer F.,15,79,2090,636,4,6,7,6,6,4,,,,,2,1,Completed,1.33,3.25,1.35,3.05,1.333,3.25,1.36,2.88,1.33,3.2
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Lopez F.,Ferrer D.,41,19,1005,1770,4,6,7,5,6,1,,,,,2,1,Completed,3.25,1.33,3.1,1.35,3.25,1.333,2.63,1.44,3,1.37
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Soderling R.,Almagro N.,11,29,3125,1225,6,4,7,5,,,,,,,2,0,Completed,1.12,5.5,1.15,5.2,1.12,5.5,1.13,6,1.15,5.2
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Melzer J.,Del Potro J.M.,43,5,985,6555,7,5,2,1,,,,,,,1,0,Retired,6,1.11,5.5,1.13,6,1.111,6,1.13,5.6,1.13
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Ljubicic I.,Verdasco F.,37,9,1070,3400,6,4,7,6,,,,,,,2,0,Completed,4.5,1.16,3.89,1.23,4.333,1.2,4.5,1.2,4.1,1.22
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Nadal R.,Blake J.,2,26,8945,1415,6,2,6,7,6,4,,,,,2,1,Completed,1.16,4.5,1.23,3.89,1.222,4,1.22,3.75,1.23,4
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Zeng S.X.,7,393,4100,96,6,3,6,3,,,,,,,2,0,Completed,1.02,12,1.02,11.5,1.02,11,1.03,10,1.03,12
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Simon G.,Troicki V.,10,31,3285,1170,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.33,3.2,1.33,3.2
56,Shanghai,Shanghai Masters,14/10/09,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Fognini F.,4,66,7740,720,6,3,6,1,,,,,,,2,0,Completed,1.03,11,1.04,9.25,1.05,8.5,1.05,9,1.03,12
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Davydenko N.,Gonzalez F.,8,12,3710,2700,6,3,7,5,,,,,,,2,0,Completed,1.44,2.62,1.5,2.45,1.5,2.5,1.53,2.5,1.5,2.55
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Stepanek R.,Wawrinka S.,16,22,2055,1650,3,6,7,6,4,2,,,,,1,1,Retired,1.66,2.1,1.65,2.2,1.72,2,1.73,2.1,1.62,2.25
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Soderling R.,Tsonga J.W.,11,7,3125,4100,6,3,6,3,,,,,,,2,0,Completed,1.83,1.83,1.95,1.8,1.9,1.8,1.9,1.9,1.93,1.84
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Ljubicic I.,Monfils G.,37,14,1070,2285,6,2,3,0,,,,,,,1,0,Retired,3.4,1.3,3.35,1.3,3.25,1.333,3.25,1.3,3.2,1.33
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Lopez F.,Melzer J.,41,43,1005,985,5,7,7,6,6,1,,,,,2,1,Completed,2.2,1.61,2.15,1.65,2.1,1.667,2.2,1.67,2.34,1.57
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Schuettler R.,4,99,7740,545,6,4,6,2,,,,,,,2,0,Completed,1.02,12,1.04,9.25,1.04,9,1.06,8.5,1.03,12
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Simon G.,Berdych T.,10,20,3285,1740,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.53,2.45,1.571,2.25,1.57,2.38,1.51,2.5
56,Shanghai,Shanghai Masters,15/10/09,Masters 1000,Outdoor,Hard,3rd Round,3,Nadal R.,Robredo T.,2,15,8945,2090,6,1,6,4,,,,,,,2,0,Completed,1.06,8,1.07,7.19,1.083,7,1.1,7,1.09,7
56,Shanghai,Shanghai Masters,16/10/09,Masters 1000,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Stepanek R.,8,16,3710,2055,6,1,4,6,6,1,,,,,2,1,Completed,1.28,3.5,1.35,3.05,1.33,3.25,1.36,2.88,1.34,3.15
56,Shanghai,Shanghai Masters,16/10/09,Masters 1000,Outdoor,Hard,Quarterfinals,3,Lopez F.,Soderling R.,41,11,1005,3125,7,6,6,3,,,,,,,2,0,Completed,5.5,1.12,5.5,1.14,4.5,1.16,5.5,1.14,5.3,1.15
56,Shanghai,Shanghai Masters,16/10/09,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Simon G.,4,10,7740,3285,6,3,2,6,6,2,,,,,2,1,Completed,1.2,4.33,1.25,3.75,1.2,4.333,1.22,4,1.25,3.8
56,Shanghai,Shanghai Masters,16/10/09,Masters 1000,Outdoor,Hard,Quarterfinals,3,Nadal R.,Ljubicic I.,2,37,8945,1070,3,6,6,3,,,,,,,1,1,Retired,1.06,8,1.08,7,1.083,7,1.07,8,1.08,7.25
56,Shanghai,Shanghai Masters,17/10/09,Masters 1000,Outdoor,Hard,Semifinals,3,Davydenko N.,Djokovic N.,8,4,3710,7740,4,6,6,4,7,6,,,,,2,1,Completed,3,1.36,2.85,1.4,2.75,1.4,2.75,1.44,2.8,1.42
56,Shanghai,Shanghai Masters,17/10/09,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,Lopez F.,2,41,8945,1005,6,1,3,0,,,,,,,1,0,Retired,1.08,7,1.1,6.75,1.111,6,1.1,7,1.1,6.75
56,Shanghai,Shanghai Masters,18/10/09,Masters 1000,Outdoor,Hard,The Final,3,Davydenko N.,Nadal R.,8,2,3710,8945,7,6,6,3,,,,,,,2,0,Completed,2.5,1.53,2.61,1.46,2.5,1.5,1.8,2,2.42,1.54
